originals	tokenized	transliterated
geroepen	g e r oe p e n	ɣ ə r u p ə n
geroerd	g e r oe r d	ɣ ə r u r t
geroerde	g e r oe r d e	ɣ ə r u r d ə
gerookt	g e r oo k t	ɣ ə r o k t
gerookte	g e r oo k t e	ɣ ə r o k t ə
Gerrie	G e rr ie	ɣ ɛ r i
Gerrit	G e rr i t	ɣ ɛ r ɪ t
Gerritsen	G e rr i t s e n	ɣ ɛ r ɪ t s ə n
Gert	G e r t	ɣ ɛ r t
Gert-Jan	G e r t - J a n	ɣ ɛ r t j ɑ n
gerubriceerd	g e r u b r i c ee r d	ɣ ə r œ b r i s e r t
geruchten	g e r u ch t e n	ɣ ə r œ x t ə n
Geruchten	G e r u ch t e n	ɣ e r œ x t ə n
gerust	g e r u s t	ɣ ə r œ s t
geruststellen	g e r u s t s t e ll e n	ɣ ə r œ s t s t ɛ l ə n
geruststellend	g e r u s t s t e ll e n d	ɣ ə r œ s t s t ɛ l ɛ n t
Gerwen	G e r w e n	ɣ e r ʋ ə n
geschaad	g e s ch aa d	ɣ ə s x a t
geschaard	g e s ch aa r d	ɣ ə s x a r t
geschapen	g e s ch a p e n	ɣ ə s x a p ə n
geschat	g e s ch a t	ɣ ə s x ɛ t
gescheiden	g e s ch ei d e n	ɣ ə s x ɛɪ d ə n
geschenken	g e s ch e n k e n	ɣ ə s x ɛ ŋ k ə n
Geschenken	G e s ch e n k e n	ɣ ɛ s x ɛ ŋ k ə n
gescheurd	g e s ch eu r d	ɣ ə s x ø r t
geschied	g e s ch ie d	ɣ ə s x i t
geschiedenis	g e s ch ie d e n i s	ɣ ə s x i d e n ɪ s
Geschiedenis	G e s ch ie d e n i s	ɣ ɛ s x i d e n ɪ s
geschiedenisstudent	g e s ch ie d e n i ss t u d e n t	ɣ ə s x i d e n ɪ s t y d ɛ n t
geschiedkundig	g e s ch ie d k u n d i g	ɣ ə s x i t k œ n d ə ɣ
geschikt	g e s ch i k t	ɣ ə s x ɪ k t
Geschikt	G e s ch i k t	ɣ ɛ s x ɪ k t
geschikte	g e s ch i k t e	ɣ ə s x ɪ k t ə
geschilderd	g e s ch i l d e r d	ɣ ə s x ɪ l d ɛ r t
geschildere	g e s ch i l d e r e	ɣ ə s x ɪ l d e r ə
geschillen	g e s ch i ll e n	ɣ ə s x ɪ l ə n
geschillencommissies	g e s ch i ll e n c o mm i ss ie s	ɣ ə s x ɪ l ɛ ŋ k ɔ m ɪ s i s
geschminkt	g e s ch m i n k t	ɣ ə s x m ɪ ŋ k t
geschokt	g e s ch o k t	ɣ ə s x ɔ k t
geschonden	g e s ch o n d e n	ɣ ə s x ɔ n d ə n
geschoren	g e s ch o r e n	ɣ ə s x o r ə n
geschorst	g e s ch o r s t	ɣ ə s x ɔ r s t
geschoten	g e s ch o t e n	ɣ ə s x o t ə n
geschoven	g e s ch o v e n	ɣ ə s x o v ə n
geschrapt	g e s ch r a p t	ɣ ə s x r ɑ p t
geschreven	g e s ch r e v e n	ɣ ə s x r e v ə n
geschriften	g e s ch r i f t e n	ɣ ə s x r ɪ f t ə n
geschubde	g e s ch u b d e	ɣ ə s x œ b d ə
geschut	g e s ch u t	ɣ ə s x œ t
geschuurd	g e s ch uu r d	ɣ ə s x y r t
gescoord	g e s c oo r d	ɣ ə s k o r t
geselecteerd	g e s e l e c t ee r d	ɣ ə s e l ɛ k t e r t
geselecteerde	g e s e l e c t ee r d e	ɣ ə s e l ɛ k t e r d ə
geserveerd	g e s e r v ee r d	ɣ ə s ɛ r v e r t
gesignaleerd	g e s i g n a l ee r d	ɣ ə s ɪ ɣ n a l e r t
gesignaleerden	g e s i g n a l ee r d e n	ɣ ə s ɪ ɣ n a l e r d ə n
Gesink	G e s i n k	ɣ e s ɪ ŋ k
gesitueerd	g e s i t u ee r d	ɣ ə s i t y e r t
gesitueerde	g e s i t u ee r d e	ɣ ə s i t y e r d ə
geskipped	g e s k i pp e d	ɣ ə s k ɪ p ɛ t
geslaagd	g e s l aa g d	ɣ ə s l a ɣ t
geslaagde	g e s l aa g d e	ɣ ə s l a ɣ d ə
geslacht	g e s l a ch t	ɣ ə s l ɑ x t
geslachten	g e s l a ch t e n	ɣ ə s l ɑ x t ə n
geslachtsgemeenschap	g e s l a ch t s g e m ee n s ch a p	ɣ ə s l ɑ x t s ɣ ə m e n s x ɑ p
geslagen	g e s l a g e n	ɣ ə s l a ɣ ə n
geslapen	g e s l a p e n	ɣ ə s l a p ə n
gesloopt	g e s l oo p t	ɣ ə s l o p t
gesloten	g e s l o t e n	ɣ ə s l o t ə n
gesneden	g e s n e d e n	ɣ ə s n e d ə n
gesneuvelde	g e s n eu v e l d e	ɣ ə s n ø v ɛ l d ə
gesondheid	g e s o n d h ei d	ɣ ə s ɔ n d h ɛɪ t
gespannen	g e s p a nn e n	ɣ ə s p ɑ n ə n
gespcificeerde	g e s p c i f i c ee r d e	ɣ ə s p s i f i s e r d ə
gespecialiseerd	g e s p e ci a l i s ee r d	ɣ ə s p e ʃ a l i s e r t
Gespecialiseerd	G e s p e ci a l i s ee r d	ɣ ɛ s p e ʃ a l i s e r t
gespecialiseerde	g e s p e ci a l i s ee r d e	ɣ ə s p e ʃ a l i s e r d ə
gespecialiserd	g e s p e ci a l i s e r d	ɣ ə s p e ʃ a l i s ɛ r t
gespeculeerd	g e s p e c u l ee r d	ɣ ə s p e k y l e r t
gespeeld	g e s p ee l d	ɣ ə s p e l t
gespeelde	g e s p ee l d e	ɣ ə s p e l d ə
gespiegeld	g e s p ie g e l d	ɣ ə s p i ɣ ə l t
gespijkerd	g e s p ij k e r d	ɣ ə s p ɛɪ k ɛ r t
gespoed	g e s p oe d	ɣ ə s p u t
Gesponsord	G e s p o n s o r d	ɣ ɛ s p ɔ n s ɔ r t
gesprek	g e s p r e k	ɣ ə s p r ɛ k
gesprekken	g e s p r e kk e n	ɣ ə s p r ɛ k ə n
Gesprekken	G e s p r e kk e n	ɣ ɛ s p r ɛ k ə n
Gespreksonderwerpen	G e s p r e k s o n d e r w e r p e n	ɣ ɛ s p r ɛ k s ɔ n d e r ʋ ɛ r p ə n
gesprekspartners	g e s p r e k s p a r t n e r s	ɣ ə s p r ɛ k s p ɑ r t n ɛ r s
gesproken	g e s p r o k e n	ɣ ə s p r o k ə n
gestaag	g e s t aa g	ɣ ə s t a ɣ
gestaakt	g e s t aa k t	ɣ ə s t a k t
gestaakte	g e s t aa k t e	ɣ ə s t a k t ə
gestaan	g e s t aa n	ɣ ə s t a n
Gestalt	G e s t a l t	ɣ ɛ s t ɑ l t
gestalte	g e s t a l t e	ɣ ə s t ɑ l t ə
Gestaltener	G e s t a l t e n e r	ɣ ɛ s t ɑ l t e n ə r
gestampt	g e s t a m p t	ɣ ə s t ɑ m p t
gestandaardiseerde	g e s t a n d aa r d i s ee r d e	ɣ ə s t ɑ n d a r d i s e r d ə
gestapt	g e s t a p t	ɣ ə s t ɑ p t
gestart	g e s t a r t	ɣ ə s t ɑ r t
gesteenten	g e s t ee n t e n	ɣ ə s t e n t ə n
gestegen	g e s t e g e n	ɣ ə s t e ɣ ə n
gesteld	g e s t e l d	ɣ ə s t ɛ l t
gestelde	g e s t e l d e	ɣ ə s t ɛ l d ə
gestemd	g e s t e m d	ɣ ə s t ɛ m t
gesteriliseerde	g e s t e r i l i s ee r d e	ɣ ə s t e r i l i s e r d ə
gesteund	g e s t eu n d	ɣ ə s t ø n t
gesteunde	g e s t eu n d e	ɣ ə s t ø n d ə
Gesthuizen	G e s t h ui z e n	ɣ ɛ s t h œy z ə n
gesticht	g e s t i ch t	ɣ ə s t ɪ x t
gestoeld	g e s t oe l d	ɣ ə s t u l t
gestoken	g e s t o k e n	ɣ ə s t o k ə n
gestolen	g e s t o l e n	ɣ ə s t o l ə n
gestoord	g e s t oo r d	ɣ ə s t o r t
gestoorde	g e s t oo r d e	ɣ ə s t o r d ə
gestopt	g e s t o p t	ɣ ə s t ɔ p t
gestopte	g e s t o p t e	ɣ ə s t ɔ p t ə
gestort	g e s t o r t	ɣ ə s t ɔ r t
gestorven	g e s t o r v e n	ɣ ə s t ɔ r v ə n
gestraft	g e s t r a f t	ɣ ə s t r ɑ f t
gestrande	g e s t r a n d e	ɣ ə s t r ɑ n d ə
gestreden	g e s t r e d e n	ɣ ə s t r e d ə n
gestreefd	g e s t r ee f d	ɣ ə s t r e f t
gestreept	g e s t r ee p t	ɣ ə s t r e p t
gestreken	g e s t r e k e n	ɣ ə s t r e k ə n
gestrest	g e s t r e s t	ɣ ə s t r ɛ s t
gestriped	g e s t r i p e d	ɣ ə s t r i p ɛ t
gestrooide	g e s t r ooi d e	ɣ ə s t r oi d ə
gestructureerde	g e s t r u c t u r ee r d e	ɣ ə s t r œ k t y r e r d ə
gestruikeld	g e s t r ui k e l d	ɣ ə s t r œy k ɛ l t
gestudeerd	g e s t u d ee r d	ɣ ə s t y d e r t
gestuit	g e s t ui t	ɣ ə s t œy t
gestuurd	g e s t uu r d	ɣ ə s t y r t
Gesualdo	G e s u a l d o	ɣ e s y ɑ l d o
Gesuggereerd	G e s u gg e r ee r d	ɣ e s œ ɣ ə r e r t
gesuggereerde	g e s u gg e r ee r d e	ɣ ə s œ ɣ ə r e r d ə
getal	g e t a l	ɣ ə t ɑ l
getalenteerd	g e t a l e n t ee r d	ɣ ə t a l ɛ n t e r t
getalenteerde	g e t a l e n t ee r d e	ɣ ə t a l ɛ n t e r d ə
getallen	g e t a ll e n	ɣ ə t ɑ l ə n
getekend	g e t e k e n d	ɣ ə t e k ɛ n t
getekende	g e t e k e n d e	ɣ ə t e k ɛ n d ə
geteld	g e t e l d	ɣ ə t ɛ l t
getelde	g e t e l d e	ɣ ə t ɛ l d ə
getemd	g e t e m d	ɣ ə t ɛ m t
getest	g e t e s t	ɣ ə t ɛ s t
getij	g e t ij	ɣ ə t ɛɪ
getijdenboek	g e t ij d e n b oe k	ɣ ə t ɛɪ d ɛ n b u k
getinte	g e t i n t e	ɣ ə t ɪ n t ə
getiteld	g e t i t e l d	ɣ ə t i t ɛ l t
getoetst	g e t oe t s t	ɣ ə t u t s t
getogen	g e t o g e n	ɣ ə t o ɣ ə n
getooid	g e t ooi d	ɣ ə t oi t
getoond	g e t oo n d	ɣ ə t o n t
getracht	g e t r a ch t	ɣ ə t r ɑ x t
getraind	g e t r ai n d	ɣ ə t r ɑɪ n t
getrak-teerd	g e t r a k - t ee r d	ɣ ə t r a k t e r t
getransformeerd	g e t r a n s f o r m ee r d	ɣ ə t r ɑ n s f ɔ r m e r t
getreden	g e t r e d e n	ɣ ə t r e d ə n
getroffen	g e t r o ff e n	ɣ ə t r ɔ f ə n
getroffenen	g e t r o ff e n e n	ɣ ə t r ɔ f e n ə n
getrokken	g e t r o kk e n	ɣ ə t r ɔ k ə n
getroosten	g e t r oo s t e n	ɣ ə t r o s t ə n
getrouw	g e t r ou w	ɣ ə t r ɑu ʋ
Getrouw	G e t r ou w	ɣ ɛ t r ɑu ʋ
getrouwd	g e t r ou w d	ɣ ə t r ɑu ʋ t
getrouwde	g e t r ou w d e	ɣ ə t r ɑu ʋ d ə
getto	g e tt o	ɣ ə t o
Getty-gedeelte	G e tt y - g e d ee l t e	ɣ ɛ t i ɣ ə d e l t ə
getuigde	g e t ui g d e	ɣ ə t œy ɣ d ə
getuige	g e t ui g e	ɣ ə t œy ɣ ə
getuigen	g e t ui g e n	ɣ ə t œy ɣ ə n
getuigenissen	g e t ui g e n i ss e n	ɣ ə t œy ɣ ə n ɪ s ə n
getuigt	g e t ui g t	ɣ ə t œy ɣ t
getwijfeld	g e t w ij f e l d	ɣ ə t ʋ ɛɪ f ɛ l t
Getz	G e t z	ɣ ɛ t s
geuit	g e ui t	ɣ ə œy t
Geulhemmergroeve	G eu l h e mm e r g r oe v e	ɣ ø l h ɛ m ɛ r ɣ r u v ə
geüpgrade	g e ü p g r a d e	ɣ ə y p ɣ r a d ə
geur	g eu r	ɣ ø r
Geurhinder	G eu r h i n d e r	ɣ ø r h ɪ n d ə r
Geurts	G eu r t s	ɣ ø r t s
geurwaarneming	g eu r w aa r n e m i ng	ɣ ø r ʋ a r n e m ɪ ŋ
gevaar	g e v aa r	ɣ ə v a r
gevaarlijk	g e v aa r l ij k	ɣ ə v a r l ə k
gevaarlijke	g e v aa r l ij k e	ɣ ə v a r l ə k ə
gevaarlijker	g e v aa r l ij k e r	ɣ ə v a r l ə k ə r
geval	g e v a l	ɣ ə v ɑ l
gevallen	g e v a ll e n	ɣ ə v ɑ l ə n
gevallenen	g e v a ll e n e n	ɣ ə v ɑ l e n ə n
gevangen	g e v a ng e n	ɣ ə v ɑ ŋ ə n
gevangene	g e v a ng e n e	ɣ ə v ɑ ŋ ə n ə
gevangenen	g e v a ng e n e n	ɣ ə v ɑ ŋ ə n ə n
gevangenis	g e v a ng e n i s	ɣ ə v ɑ ŋ ə n ɪ s
gevangeniscomplex	g e v a ng e n i s c o m p l e x	ɣ ə v ɑ ŋ ə n ɪ s k ɔ m p l ɛ ks
gevangenismuren	g e v a ng e n i s m u r e n	ɣ ə v ɑ ŋ ə n ɪ s m y r ə n
gevangenisregime	g e v a ng e n i s r e g i m e	ɣ ə v ɑ ŋ ə n ɪ s r e ɣ i m ə
gevangenissen	g e v a ng e n i ss e n	ɣ ə v ɑ ŋ ə n ɪ s ə n
gevangenisstraf	g e v a ng e n i ss t r a f	ɣ ə v ɑ ŋ ə n ɪ s t r ɑ f
gevangenpoort	g e v a ng e n p oo r t	ɣ ə v ɑ ŋ ə n p o r t
gevangenschap	g e v a ng e n s ch a p	ɣ ə v ɑ ŋ ə n s x ɑ p
gevaren	g e v a r e n	ɣ ə v a r ə n
gevarieerd	g e v a r i ee r d	ɣ ə v a r i e r t
gevarieerde	g e v a r i ee r d e	ɣ ə v a r i e r d ə
gevecht	g e v e ch t	ɣ ə v ɛ x t
gevechten	g e v e ch t e n	ɣ ə v ɛ x t ə n
geveild	g e v ei l d	ɣ ə v ɛɪ l t
gevel	g e v e l	ɣ ə v ə l
gevels	g e v e l s	ɣ ə v ɛ l s
geven	g e v e n	ɣ ə v ə n
geventileerd	g e v e n t i l ee r d	ɣ ə v ɛ n t i l e r t
gever	g e v e r	ɣ ə v ə r
geverifiëerd	g e v e r i f i ëe r d	ɣ ə v e r i f i e r t
gevestigd	g e v e s t i g d	ɣ ə v ɛ s t ɪ ɣ t
gevierd	g e v ie r d	ɣ ə v i r t
gevlekt	g e v l e k t	ɣ ə v l ɛ k t
gevlogen	g e v l o g e n	ɣ ə v l ɔ: ɣ ə n
gevlucht	g e v l u ch t	ɣ ə v l œ x t
gevoegd	g e v oe g d	ɣ ə v u ɣ t
gevoel	g e v oe l	ɣ ə v u l
gevoeld	g e v oe l d	ɣ ə v u l t
gevoelens	g e v oe l e n s	ɣ ə v u l ɛ n s
gevoelige	g e v oe l i g e	ɣ ə v u l ə ɣ ə
gevoeligheid	g e v oe l i gh ei d	ɣ ə v u l i g ɛɪ t
gevoelsexpressie	g e v oe l s e x p r e ss ie	ɣ ə v u l s ɛ ks p r ɛ s i
gevoerd	g e v oe r d	ɣ ə v u r t
gevolg	g e v o l g	ɣ ə v ɔ l ɣ
Gevolg	G e v o l g	ɣ e v ɔ l ɣ
gevolgd	g e v o l g d	ɣ ə v ɔ l ɣ t
gevolgde	g e v o l g d e	ɣ ə v ɔ l ɣ d ə
gevolge	g e v o l g e	ɣ ə v ɔ l ɣ ə
gevolgen	g e v o l g e n	ɣ ə v ɔ l ɣ ə n
Gevolgen	G e v o l g e n	ɣ e v ɔ l ɣ ə n
gevolgt	g e v o l g t	ɣ ə v ɔ l ɣ t
gevonden	g e v o n d e n	ɣ ə v ɔ n d ə n
gevonge	g e v o ng e	ɣ ə v ɔ ŋ ə
gevorderd	g e v o r d e r d	ɣ ə v ɔ r d ɛ r t
gevormd	g e v o r m d	ɣ ə v ɔ r m t
gevraagd	g e v r aa g d	ɣ ə v r a ɣ t
gevreesd	g e v r ee s d	ɣ ə v r e s t
gevuld	g e v u l d	ɣ ə v œ l t
gevulde	g e v u l d e	ɣ ə v œ l d ə
gewaagde	g e w aa g d e	ɣ ə ʋ a ɣ d ə
gewaagdere	g e w aa g d e r e	ɣ ə ʋ a ɣ d e r ə
gewaardeerd	g e w aa r d ee r d	ɣ ə ʋ a r d e r t
gewaardeerde	g e w aa r d ee r d e	ɣ ə ʋ a r d e r d ə
gewacht	g e w a ch t	ɣ ə ʋ ɑ x t
gewapende	g e w a p e n d e	ɣ ə ʋ a p ɛ n d ə
Gewapende	G e w a p e n d e	ɣ e ʋ a p ɛ n d ə
gewassen	g e w a ss e n	ɣ ə ʋ ɑ s ə n
geweest	g e w ee s t	ɣ ə ʋ e s t
geweigerd	g e w ei g e r d	ɣ ə ʋ ɛɪ ɣ ə r t
geweld	g e w e l d	ɣ ə ʋ ɛ l t
geweldadige	g e w e l d a d i g e	ɣ ə ʋ ɛ l d a d ə ɣ ə
gewelddadig	g e w e l dd a d i g	ɣ ə ʋ ɛ l d a d ə ɣ
geweldig	g e w e l d i g	ɣ ə ʋ ɛ l d ə ɣ
Geweldig	G e w e l d i g	ɣ e ʋ ɛ l d ə ɣ
geweldige	g e w e l d i g e	ɣ ə ʋ ɛ l d ə ɣ ə
Geweldige	G e w e l d i g e	ɣ e ʋ ɛ l d ə ɣ ə
gewend	g e w e n d	ɣ ə ʋ ɛ n t
gewenst	g e w e n s t	ɣ ə ʋ ɛ n s t
gewenste	g e w e n s t e	ɣ ə ʋ ɛ n s t ə
gewerkt	g e w e r k t	ɣ ə ʋ ɛ r k t
Gewest	G e w e s t	ɣ e ʋ ɛ s t
gewestbelastingen	g e w e s t b e l a s t i ng e n	ɣ ə ʋ ɛ s t b ə l ɑ s t ɪ ŋ ə n
gewestelijk	g e w e s t e l ij k	ɣ ə ʋ ɛ s t e l ə k
gewesten	g e w e s t e n	ɣ ə ʋ ɛ s t ə n
geweten	g e w e t e n	ɣ ə ʋ e t ə n
gewetensvolle	g e w e t e n s v o ll e	ɣ ə ʋ e t ɛ n s v ɔ l ə
geweven	g e w e v e n	ɣ ə ʋ e v ə n
gewezen	g e w e z e n	ɣ ə ʋ e z ə n
gewicht	g e w i ch t	ɣ ə ʋ ɪ x t
gewichtsbesparingen	g e w i ch t s b e s p a r i ng e n	ɣ ə ʋ ɪ x t s b ə s p a r ɪ ŋ ə n
gewichtsvector	g e w i ch t s v e c t o r	ɣ ə ʋ ɪ x t s v ɛ k t ɔ r
gewijzigd	g e w ij z i g d	ɣ ə ʋ ɛɪ z ɪ ɣ t
gewillig	g e w i ll i g	ɣ ə ʋ ɪ l ə ɣ
gewillige	g e w i ll i g e	ɣ ə ʋ ɪ l ə ɣ ə
gewisseld	g e w i ss e l d	ɣ ə ʋ ɪ s ɛ l t
gewist	g e w i s t	ɣ ə ʋ ɪ s t
gewoed	g e w oe d	ɣ ə ʋ u t
gewogen	g e w o g e n	ɣ ə ʋ o ɣ ə n
gewond	g e w o n d	ɣ ə ʋ ɔ n t
gewonden	g e w o n d e n	ɣ ə ʋ ɔ n d ə n
gewone	g e w o n e	ɣ ə ʋ o n ə
gewonnen	g e w o nn e n	ɣ ə ʋ ɔ n ə n
gewoon	g e w oo n	ɣ ə ʋ o n
Gewoon	G e w oo n	ɣ e ʋ o n
gewoond	g e w oo n d	ɣ ə ʋ o n t
gewoonlijk	g e w oo n l ij k	ɣ ə ʋ o n l ə k
Gewoonlijk	G e w oo n l ij k	ɣ e ʋ o n l ə k
gewoonte	g e w oo n t e	ɣ ə ʋ o n t ə
geworden	g e w o r d e n	ɣ ə ʋ ɔ r d ə n
geworstel	g e w o r s t e l	ɣ ə ʋ ɔ r s t ə l
gewraakt	g e w r aa k t	ɣ ə ʋ r a k t
gewrden	g e w r d e n	ɣ ə ʋ r d ə n
gewricht	g e w r i ch t	ɣ ə ʋ r ɪ x t
gewrichten	g e w r i ch t e n	ɣ ə ʋ r ɪ x t ə n
gewrocht	g e w r o ch t	ɣ ə ʋ r ɔ x t
gezaaid	g e z aai d	ɣ ə z aɪ t
gezag	g e z a g	ɣ ə z ɑ ɣ
gezagsdrager	g e z a g s d r a g e r	ɣ ə z ɑ ɣ s d r a ɣ ə r
gezagsdragers	g e z a g s d r a g e r s	ɣ ə z ɑ ɣ s d r a ɣ ə r s
gezamenlijk	g e z a m e n l ij k	ɣ ə z a m ɛ n l ə k
gezamenlijke	g e z a m e n l ij k e	ɣ ə z a m ɛ n l ə k ə
gezegd	g e z e g d	ɣ ə z ɛ ɣ t
gezegde	g e z e g d e	ɣ ə z ɛ ɣ d ə
gezeik	g e z ei k	ɣ ə z ɛɪ k
gezellig	g e z e ll i g	ɣ ə z ɛ l ə ɣ
gezellige	g e z e ll i g e	ɣ ə z ɛ l ə ɣ ə
gezelligheid	g e z e ll i gh ei d	ɣ ə z ɛ l i g ɛɪ t
gezelschap	g e z e l s ch a p	ɣ ə z ɛ l s x ɑ p
gezelschappen	g e z e l s ch a pp e n	ɣ ə z ɛ l s x ɑ p ə n
gezemel	g e z e m e l	ɣ ə z e m ə l
gezet	g e z e t	ɣ ə z ɛ t
Gezet	G e z e t	ɣ e z ɛ t
gezèt	g e z è t	ɣ ə z ɛ: t
gezeten	g e z e t e n	ɣ ə z e t ə n
gezette	g e z e tt e	ɣ ə z ɛ t ə
gezeur	g e z eu r	ɣ ə z ø r
gezicht	g e z i ch t	ɣ ə z ɪ x t
Gezicht	G e z i ch t	ɣ e z ɪ x t
gezicht-van-onze-tijd	g e z i ch t - v a n - o n z e - t ij d	ɣ ə z ɪ x t v a n ɔ n z e t ɛɪ t
gezichten	g e z i ch t e n	ɣ ə z ɪ x t ə n
gezichtjes	g e z i ch tj e s	ɣ ə z ɪ x c ɛ s
gezichtsbepalend	g e z i ch t s b e p a l e n d	ɣ ə z ɪ x t s b ə p a l ɛ n t
gezien	g e z ie n	ɣ ə z i n
Gezien	G e z ie n	ɣ e z i n
gezin	g e z i n	ɣ ə z ɪ n
gezindte	g e z i n d t e	ɣ ə z ɪ n t t ə
gezinnen	g e z i nn e n	ɣ ə z ɪ n ə n
gezinnetje	g e z i nn e tj e	ɣ ə z ɪ n e c ə
gezinsbescherming	g e z i n s b e s ch e r m i ng	ɣ ə z ɪ n s b ə s x ɛ r m ɪ ŋ
gezinsmenu	g e z i n s m e n u	ɣ ə z ɪ n s m e n y
gezinssituatie	g e z i n ss i t u a t ie	ɣ ə z ɪ n s i t y a ts i
gezinszorg	g e z i n s z o r g	ɣ ə z ɪ n s z ɔ r ɣ
gezocht	g e z o ch t	ɣ ə z ɔ x t
Gezocht	G e z o ch t	ɣ e z ɔ x t
gezogen	g e z o g e n	ɣ ə z o ɣ ə n
gezond	g e z o n d	ɣ ə z ɔ n t
gezonde	g e z o n d e	ɣ ə z ɔ n d ə
gezonden	g e z o n d e n	ɣ ə z ɔ n d ə n
gezonder	g e z o n d e r	ɣ ə z ɔ n d ə r
gezondheid	g e z o n d h ei d	ɣ ə z ɔ n d h ɛɪ t
Gezondheid	G e z o n d h ei d	ɣ e z ɔ n d h ɛɪ t
gezondheidsonderzoek	g e z o n d h ei d s o n d e r z oe k	ɣ ə z ɔ n d h ɛɪ t s ɔ n d ɛ r z u k
gezondheidsrisico	g e z o n d h ei d s r i s i c o	ɣ ə z ɔ n d h ɛɪ t s r i s i k o
gezondheidstoestand	g e z o n d h ei d s t oe s t a n d	ɣ ə z ɔ n d h ɛɪ t s t u s t ɑ n t
gezondheidsverschillen	g e z o n d h ei d s v e r s ch i ll e n	ɣ ə z ɔ n d h ɛɪ t s v ɛ r s x ɪ l ə n
gezondheidszorg	g e z o n d h ei d s z o r g	ɣ ə z ɔ n d h ɛɪ t s z ɔ r ɣ
gezongen	g e z o ng e n	ɣ ə z ɔ ŋ ə n
gezorgd	g e z o r g d	ɣ ə z ɔ r ɣ t
gezwicht	g e z w i ch t	ɣ ə z ʋ ɪ x t
gezwommen	g e z w o mm e n	ɣ ə z ʋ ɔ m ə n
ggo-tomatenras	gg o - t o m a t e n r a s	ɣ o t o m a t ɛ n r ɑ s
ggo-vrij	gg o - v r ij	ɣ o v r ɛɪ
Ghanese	G h a n e s e	ɣ h a n e s ə
Gherijts	G h e r ij t s	ɣ h e r ɛɪ t s
ghetto	gh e tt o	g ɛ t o
Ghisene	G h i s e n e	ɣ h i s e n ə
ghostwriten	gh o s t w r i t e n	g ɔ s t ʋ r i t ə n
Giant	G i a n t	ɣ i ɑ n t
Gibourne	G i b ou r n e	ɣ i b ɑu r n ə
gids	g i d s	ɣ ɪ t s
Gids	G i d s	ɣ ɪ t s
Gidsenteam	G i d s e n t e a m	ɣ ɪ t s ɛ n t e ɑ m
giervalk	g ie r v a l k	ɣ i r v ɑ l k
Giessen	G ie ss e n	ɣ i s ə n
Giet	G ie t	ɣ i t
gieten	g ie t e n	ɣ i t ə n
gietende	g ie t e n d e	ɣ i t ɛ n d ə
Giethoorn	G ie t h oo r n	ɣ i t h o r n
giethuid	g ie t h ui d	ɣ i t h œy t
gietijzer	g ie t ij z e r	ɣ i t ɛɪ z ə r
gift	g i f t	ɣ ɪ f t
giftigheid	g i f t i gh ei d	ɣ ɪ f t i g ɛɪ t
gigabit	g i g a b i t	ɣ i ɣ a b ɪ t
gigabyte	g i g a b y t e	ɣ i ɣ a b i t ə
gigabytes	g i g a b y t e s	ɣ i ɣ a b i t ɛ s
gigant	g i g a n t	ɣ i ɣ ɑ n t
gigantisch	g i g a n t i sch	ɣ i ɣ ɑ n t i s
gigantische	g i g a n t i sch e	ɣ i ɣ ɑ n t i s ə
gij	g ij	ɣ ɛɪ
gijn	g ij n	ɣ ɛɪ n
Gijs	G ij s	ɣ ɛɪ s
gijzelaar	g ij z e l aa r	ɣ ɛɪ z e l a r
Gil	G i l	ɣ ɪ l
Gilad	G i l a d	ɣ i l ɑ t
Gilbert	G i l b e r t	ɣ ɪ l b ə r t
Gildas	G i l d a s	ɣ ɪ l d ɑ s
Gilde	G i l d e	ɣ ɪ l d ə
gillen	g i ll e n	ɣ ɪ l ə n
gillende	g i ll e n d e	ɣ ɪ l ɛ n d ə
Gilles	G i ll e s	ɣ ɪ l ɛ s
Gilze-Rijen	G i l z e - R ij e n	ɣ ɪ l z e r ɛɪ ə n
Gimignano	G i m i g n a n o	ɣ i m ɪ ɣ n a n o
gin	g i n	ɟ ɪ n
Gina	G i n a	ɣ i n a
ging	g i ng	ɣ ɪ ŋ
gingen	g i ng e n	ɣ ɪ ŋ ə n
Ginzburg	G i n z b u r g	ɣ ɪ n z b œ r ɣ
Gio	G i o	ɣ i o
Giorgetto	G i o r g e tt o	ɣ i ɔ r ɣ ə t o
Giorgio	G i o r g i o	ɣ i ɔ r ɣ i o
giraffe	g i r a ff e	ɣ i r ɑ f ə
girl	g i r l	ɣ ɪ r l
giro	g i r o	ɣ i r o
gist	g i s t	ɣ ɪ s t
gisteravond	g i s t e r a v o n d	ɣ ɪ s t e r a v ɔ n t
gisteren	g i s t e r e n	ɣ ɪ s t e r ə n
Gisteren	G i s t e r e n	ɣ ɪ s t e r ə n
gisterenavond	g i s t e r e n a v o n d	ɣ ɪ s t e r e n a v ɔ n t
Gisterochtend	G i s t e r o ch t e n d	ɣ ɪ s t e r ɔ x t ɛ n t
gitaar	g i t aa r	ɣ i t a r
gitaarmuziek	g i t aa r m u z ie k	ɣ i t a r m y z i k
gitarist	g i t a r i s t	ɣ i t a r ɪ s t
Giugiaro	G i u g i a r o	ɣ i y ɣ i a r o
glaasje	g l aa sj e	ɣ l a ʃ ə
Glacier	G l a c ie r	ɣ l a s i r
gladde	g l a dd e	ɣ l ɑ d ə
gladheid	g l a d h ei d	ɣ l a d h ɛɪ t
