originals	tokenized	transliterated
Deelnamekosten	Deelnamekosten	delnamekɔstən
deelneemt	deelneemt	delnemt
deelnemen	deelnemen	delnemən
Deelnemen	Deelnemen	delnemən
deelnemende	deelnemende	delnemɛndə
deelnemer	deelnemer	delnemər
deelnemers	deelnemers	delnemɛrs
deelplaten	deelplaten	delplatən
deelraad	deelraad	delrat
deels	deels	dels
deelstaat	deelstaat	delstat
deelterreinen	deelterreinen	deltɛrɛɪnən
deeltijd	deeltijd	deltɛɪt
Deen	Deen	den
Deense	Deense	densə
deep	deep	dep
defect	defect	defɛkt
defecte	defecte	defɛktə
Defensie	Defensie	defɛnsi
defensieminister	defensieminister	defɛnsiminɪstər
Defensiepolitiek	Defensiepolitiek	defɛnsipolitik
Defensietaken	Defensietaken	defɛnsitakən
defibrilleren	defibrilleren	defɪbrɪlerən
definieert	definieert	definiert
definiëren	definiëren	definierən
definitie	definitie	definitsi
Definitie	Definitie	definitsi
definitief	definitief	definitif
definitieve	definitieve	definitsivə
definition	definition	definiʃɔn
degeen	degeen	deɣen
degelijk	degelijk	deɣələk
degene	degene	deɣənə
Degene	Degene	deɣənə
degenen	degenen	deɣənən
degradatie	degradatie	dɛɣradatsi
degraderen	degraderen	dɛɣraderən
Degree	Degree	dɛɣre
Deh	Deh	dɛ
Dehaene	Dehaene	dehaenə
deharvengi	deharvengi	dehɑrvɛŋi
dehonderdduizend	dehonderdduizend	dehɔndɛrdœyzɛnt
dei	dei	dɛɪ
Deitmers	Deitmers	dɛɪtmɛrs
Dejima	Dejima	dejima
dek	dek	dɛk
dekbedovertrek	dekbedovertrek	dɛkbədovɛrtrɛk
dekken	dekken	dɛkən
Dekker	Dekker	dɛkər
dekking	dekking	dɛkɪŋ
dekkingen	dekkingen	dɛkɪŋən
dekkinggebied	dekkinggebied	dɛkɪŋɣəbit
dekkingsgraad	dekkingsgraad	dɛkɪŋsɣrat
deksel	deksel	dɛksəl
dekselplaat	dekselplaat	dɛksɛlplat
deksels	deksels	dɛksɛls
dekt	dekt	dɛkt
dekvloeren	dekvloeren	dɛkvlurən
del	del	dəl
Delden	Delden	dɛldən
delegatie	delegatie	deleɣatsi
delen	delen	delən
Deleu	Deleu	delø
Delfland	Delfland	dɛlflɑnt
Delfsblauw	Delfsblauw	dɛlfsblɑuʋ
Delfshaven	Delfshaven	dɛlfshavən
Delft	Delft	dɛlft
Delftse	Delftse	dɛlftsə
Delhaize	Delhaize	delhɑɪzə
delica	delica	delika
delicate	delicate	delikatə
delictsbestanddeel	delictsbestanddeel	delɪktsbəstɑndel
Dell	Dell	dɛl
Dell-bestuursvoorzitter	Dell-bestuursvoorzitter	dɛlbəstyrsvorzɪtər
della	della	dɛla
Delphi	Delphi	dɛlphi
delta	delta	dɛlta
Delta	Delta	dɛlta
delven	delven	dɛlvən
Demaya	Demaya	demaia
dementerende	dementerende	demɛnterɛndə
dementie	dementie	demɛntsi
demo	demo	demo
Democratic	Democratic	demɔkratɪk
democratie	democratie	demɔkratsi
Democratie	Democratie	demɔkratsi
democratische	democratische	demɔkratisə
Democratische	Democratische	demɔkratisə
demonstranten	demonstranten	demɔnstrɑntən
demonstratie	demonstratie	demɔnstratsi
demonstratief	demonstratief	demɔnstratif
demonstratiestatus	demonstratiestatus	demɔnstratsistatœs
demonstreert	demonstreert	demɔnstrert
demosoftware	demosoftware	demosɔftʋarə
demper	demper	dɛmpər
dempers	dempers	dɛmpɛrs
Dempsey	Dempsey	dɛmpsɛi
den	den	dən
Den	Den	dən
denderende	denderende	dɛnderɛndə
Dendermonde	Dendermonde	dɛndɛrmɔndə
Denekamp	Denekamp	denekɑmp
Denemarken	Denemarken	denemɑrkən
Denis	Denis	denɪs
denk	denk	dɛŋk
Denk	Denk	dɛŋk
denkbeeld	denkbeeld	dɛŋkbelt
denkbeelden	denkbeelden	dɛŋkbeldən
denken	denken	dɛŋkən
denkend	denkend	dɛŋkɛnt
denker	denker	dɛŋkər
Denkers	Denkers	dɛŋkɛrs
denkt	denkt	dɛŋkt
Denkt	Denkt	dɛŋkt
denkvermogen	denkvermogen	dɛŋkvɛrmoɣən
Denneboom	Denneboom	dɛnebom
dennen	dennen	dɛnən
dennenpollen	dennenpollen	dɛnɛnpɔlən
Dennis	Dennis	dɛnɪs
Dennison	Dennison	dɛnisɔn
deodorant	deodorant	deodorɑnt
Depailler	Depailler	depɑɪjər
departement	departement	depɑrtemɛnt
Departement	Departement	depɑrtemɛnt
deponeert	deponeert	deponert
deponeren	deponeren	deponerən
Depoorter	Depoorter	deportər
depot	depot	depo
Depot	Depot	depɔt
Depourcq	Depourc⁇	depɑurk⁇
depressie	depressie	dɛprɛsi
Depressie	Depressie	dɛprɛsi
depressief	depressief	dɛprɛsif
depressies	depressies	dɛprɛsis
der	der	dər
Der	Der	dər
Derbi	Derbi	dɛrbi
derde	derde	dɛrdə
Derde	Derde	dɛrdə
derden	derden	dɛrdən
Derek	Derek	derɛk
deren	deren	derən
dergelijk	dergelijk	dɛrɣələk
dergelijke	dergelijke	dɛrɣələkə
dergelijks	dergelijks	dɛrɣələks
derhalve	derhalve	derhɑlvə
Derhalve	Derhalve	derhɑlvə
Derijks	Derijks	derɛɪks
Derivato	Derivato	derivato
Derkinderenstraat	Derkinderenstraat	dɛrkɪnderɛnstrat
Derks	Derks	dɛrks
Derksen	Derksen	dɛrksən
dermate	dermate	dɛrmatə
dertien	dertien	dɛrtsin
dertienmaal	dertienmaal	dɛrtsinmal
dertig	dertig	dɛrtəɣ
dertiger	dertiger	dɛrtəɣər
dertigtal	dertigtal	dɛrtɪɣtɑl
derzelver	derzelver	dɛrzɛlvər
des	des	dɛs
desalniettemin	desalniettemin	desɑlnitemɪn
desbetreffende	desbetreffende	dɛsbətrɛfɛndə
Descartes	Descartes	dɛskɑrtɛs
desem	desem	desɛm
desgevraagd	desgevraagd	dɛsɣəvraɣt
desgewenst	desgewenst	dɛsɣəʋɛnst
Desi	Desi	desi
design	design	desən
Design	Design	desəɣn
designer	designer	desɪnər
designlights	designlights	desɪnligts
designwanden	designwanden	desɪnʋɑndən
desire	desire	desirə
Desk	Desk	dɛsk
desktop	desktop	dɛsktɔp
deskundig	deskundig	dɛskœndəɣ
deskundige	deskundige	dɛskœndəɣə
deskundigen	deskundigen	dɛskœndəɣən
deskundigheid	deskundigheid	dɛskœndigɛɪt
desnoods	desnoods	dɛsnots
desondanks	desondanks	desɔndɑŋks
Desondanks	Desondanks	desɔndɑŋks
desoxyefedrine	desoxyefedrine	desɔksiefɛdrinə
Desperate	Desperate	dɛsperatə
dessin	dessin	dɛsɪn
destijds	destijds	dɛstɛɪts
Destiny	Destiny	dɛstini
det	det	dɛt
Det	Det	dɛt
detacheringscontract	detacheringscontract	detɑxerɪŋskɔntrɑkt
detacheringsmaatschappij	detacheringsmaatschappij	detɑxerɪŋsmatsxɑpɛɪ
detail	detail	detɑɪl
detailhandelscijfers	detailhandelscijfers	detɑɪlhɑndɛlsɛɪfɛrs
detailinformatie	detailinformatie	detɑɪlɪnfɔrmatsi
Detailinformatie	Detailinformatie	detɑɪlɪnfɔrmatsi
details	details	detɑɪls
Details	Details	detɑɪls
detectietechnologie	detectietechnologie	detɛktsitɛxnoloɣi
Deters	Deters	detɛrs
Dettifoss	Dettifoss	dɛtifɔs
deugde	deugde	døɣdə
deur	deur	dør
Deur	Deur	dør
deuren	deuren	dørən
Deurne	Deurne	dørnə
deurtje	deurtje	dørcə
deurtype	deurtype	dørtipə
deurvleugels	deurvleugels	dørvløɣəls
deurwaarder	deurwaarder	dørʋardər
Deutsche	Deutsche	døtsxə
Deux	Deux	døks
Devanagari	Devanagari	devanaɣari
Deveci	Deveci	devesi
development	development	develɔpmɛnt
Development	Development	develɔpmɛnt
Deventer	Deventer	devɛntər
Devolder	Devolder	devɔldər
Devon	Devon	devɔn
Dewaele	Dewaele	deʋaelə
dewelke	dewelke	deʋɛlkə
Dewinter	Dewinter	deʋɪntər
deze	deze	dezə
Deze	Deze	dezə
dezelfde	dezelfde	dezɛlfdə
dezer	dezer	dezər
dezeweek	dezeweek	dezeʋek
Dhekelia	Dhekelia	dhekelia
dhr	dhr	dhr
dhtml	dhtml	dhtml
di	di	di
Di	Di	di
Di-visie	Di-visie	divisi
dia	dia	dia
diabeten	diabeten	diabətən
diabetesdag	diabetesdag	diabətɛsdɑɣ
Diablo	Diablo	diɑblo
Diaconale	Diaconale	diakonalə
diagnose	diagnose	diɑɣnosə
diagnosegesprek	diagnosegesprek	diɑɣnoseɣəsprɛk
diagnostiek	diagnostiek	diɑɣnɔstik
diagonale	diagonale	diaɣonalə
diagram	diagram	diɑɣrɑm
diakenen	diakenen	diakenən
diakens	diakens	diakɛns
dialect	dialect	dialɛkt
dialecten	dialecten	dialɛktən
dialogische	dialogische	dialoɣisə
dialoog	dialoog	dialoɣ
Dialoog	Dialoog	dialoɣ
dialyse	dialyse	dialisə
diamant	diamant	diamɑnt
Diamental	Diamental	diamɛntɑl
diameter	diameter	diametər
Diana	Diana	diana
Diani	Diani	diani
Diarra	Diarra	diɑra
diashow	diashow	diashoʋ
dich	dich	dɪx
dicht	dicht	dɪxt
dichtbevolkte	dichtbevolkte	dɪxtbəvɔlktə
dichtbij	dichtbij	dɪxtbɛɪ
Dichtbij	Dichtbij	dɪxtbɛɪ
dichtdoen	dichtdoen	dɪxtdun
dichte	dichte	dɪxtə
dichten	dichten	dɪxtən
dichter	dichter	dɪxtər
dichterbij	dichterbij	dɪxtɛrbɛɪ
dichterlijke	dichterlijke	dɪxtɛrləkə
dichters	dichters	dɪxtɛrs
dichtgesmeten	dichtgesmeten	dɪxtɣəsmetən
dichtheden	dichtheden	dɪxthedən
dichtheid	dichtheid	dɪxthɛɪt
dichtkunst	dichtkunst	dɪxtkœnst
dichtst	dichtst	dɪxtst
dichtstbevolkte	dichtstbevolkte	dɪxtstbəvɔlktə
dichtstbijzijnde	dichtstbijzijnde	dɪxtstbɛɪzɛɪndə
Dick	Dick	dɪk
dictator	dictator	dɪktatɔr
dictatuur	dictatuur	dɪktatyr
Dicts	Dicts	dɪkts
Didactiek	Didactiek	didɑktik
didactisch	didactisch	didɑktis
Didactive	Didactive	didɑktivə
Didge	Didge	dɪtɣə
die	die	di
Die	Die	di
dieet	dieet	diet
dief	dief	dif
Dief	Dief	dif
diefstal	diefstal	difstɑl
diegenen	diegenen	diɣənən
Diego	Diego	diɣo
Diemen	Diemen	dimən
Diemerzeedijk	Diemerzeedijk	dimɛrzedɛɪk
dien	dien	din
Dien	Dien	din
dienaar	dienaar	dinar
diende	diende	dində
dienden	dienden	dindən
diender	diender	dindər
dienen	dienen	dinən
diens	diens	dins
Diens	Diens	dins
dienst	dienst	dinst
Dienst	Dienst	dinst
dienste	dienste	dinstə
diensten	diensten	dinstən
Diensten	Diensten	dinstən
dienstenaanbieders	dienstenaanbieders	dinstenanbidɛrs
dienstencentrum	dienstencentrum	dinstɛnsɛntrœm
dienstenpakket	dienstenpakket	dinstɛnpɑkɛt
dienstplicht	dienstplicht	dinstplɪxt
dienstregeling	dienstregeling	dinstreɣəlɪŋ
dienstspullen	dienstspullen	dinstspœlən
dienstverband	dienstverband	dinstvɛrbɑnt
dienstverlener	dienstverlener	dinstvɛrlenər
dienstverleners	dienstverleners	dinstvɛrlenɛrs
dienstverlening	dienstverlening	dinstvɛrlenɪŋ
Dienstverlening	Dienstverlening	dinstvɛrlenɪŋ
dient	dient	dint
diep	diep	dip
Diep	Diep	dip
diepe	diepe	dipə
dieper	dieper	dipər
diepgang	diepgang	dipɣɑŋ
diepste	diepste	dipstə
diepte	diepte	diptə
dieptestructuur	dieptestructuur	diptɛstrœktyr
diepvriespizza	diepvriespizza	dipvrispitsa
diepvriesprocedé	diepvriesprocedé	dipvrisprosede
diepzeeduiken	diepzeeduiken	dipzedœykən
dier	dier	dir
dieren	dieren	dirən
Dieren	Dieren	dirən
dierenactivisme	dierenactivisme	direnɑktivɪsmə
dierenambulance	dierenambulance	direnɑmbylɑnsə
Dierenambulance	Dierenambulance	direnɑmbylɑnsə
dierenarts	dierenarts	direnɑrts
Dierenbeschermingscentra	Dierenbeschermingscentra	dirɛnbəsxɛrmɪŋssɛntra
dierenhulp	dierenhulp	direnhœlp
dierenmishandelaars	dierenmishandelaars	dirɛnmishɑndelars
dierentuin	dierentuin	dirɛntœyn
dierenvriend	dierenvriend	dirɛnvrint
dierenwinkel	dierenwinkel	direnʋɪŋkəl
Dierenwinkel	Dierenwinkel	direnʋɪŋkəl
diergelijke	diergelijke	dirɣələkə
dierportretten	dierportretten	dirpɔrtrɛtən
dierproefsector	dierproefsector	dirprufsɛktɔr
dierproefvrij	dierproefvrij	dirprufvrɛɪ
dierproeven	dierproeven	dirpruvən
diertje	diertje	dircə
diervoer	diervoer	dirvur
diervriendelijk	diervriendelijk	dirvrindelək
dierziekten	dierziekten	dirziktən
diesel	diesel	disəl
diesels	diesels	disɛls
Diestersteenweg	Diestersteenweg	distɛrstenʋɛɣ
diezelfde	diezelfde	dizɛlfdə
Diezelfde	Diezelfde	dizɛlfdə
difficilis	difficilis	dɪfisilɪs
difterie	difterie	dɪfteri
digitaal	digitaal	diɣital
Digital	Digital	diɣitɑl
digitale	digitale	diɣitalə
Digitale	Digitale	diɣitalə
digitaliseren	digitaliseren	diɣitaliserən
Digitally	Digitally	diɣitɑli
Digitenne	Digitenne	diɣitɛnə
Digmon	Digmon	dɪɣmɔn
dij	dij	dɛɪ
dijen	dijen	dɛɪən
dijk	dijk	dɛɪk
Dijk	Dijk	dɛɪk
Dijkema	Dijkema	dɛɪkema
dijken	dijken	dɛɪkən
dijkgraaf	dijkgraaf	dɛɪkɣraf
dijkje	dijkje	dɛɪkjə
Dijkman	Dijkman	dɛɪkmɑn
Dijkstra	Dijkstra	dɛɪkstra
dik	dik	dɪk
dikbetaalde	dikbetaalde	dɪkbətaldə
dikke	dikke	dɪkə
dikker	dikker	dɪkər
Dikmuur	Dikmuur	dɪkmyr
dikte	dikte	dɪktə
Diku	Diku	diky
dilemma	dilemma	dilɛma
dimabonnement	dimabonnement	dimabɔnemɛnt
dimensie	dimensie	dimɛnsi
Dimitra	Dimitra	dimɪtra
Dinamo	Dinamo	dinamo
diner	diner	dine
dinerbon	dinerbon	dinebɔn
dineren	dineren	dineən
Dineren	Dineren	dinerən
dinerruimte	dinerruimte	dinerœymtə
diners	diners	dines
ding	ding	dɪŋ
dingen	dingen	dɪŋən
Dinghoofd	Dinghoofd	dɪŋhoft
Dino	Dino	dino
dinsdag	dinsdag	dɪnsdɑɣ
Dinsdag	Dinsdag	dɪnsdɑɣ
dinsdagavond	dinsdagavond	dɪnsdaɣavɔnt
Dinsdagavond	Dinsdagavond	dɪnsdaɣavɔnt
dinsdagmiddag	dinsdagmiddag	dɪnsdɑɣmɪdɑɣ
dinsdagmorgen	dinsdagmorgen	dɪnsdɑɣmɔrɣən
dinsdagochtend	dinsdagochtend	dɪnsdaɣɔxtɛnt
Dinteren	Dinteren	dɪnterən
Dinxterveen	Dinxterveen	dinkstɛrven
Diodorus	Diodorus	diodorœs
diopter	diopter	diɔptər
dioxineconcentratie	dioxineconcentratie	diɔksinekɔnsɛntratsi
dip	dip	dɪp
diploma	diploma	dɪploma
diplomaat	diplomaat	dɪplomat
dir	dir	dɪr
Dir	Dir	dɪr
Dirc	Dirc	dɪrk
Dirck	Dirck	dɪrk
direct	direct	dirɛkt
Direct	Direct	dirɛkt
direct-mailmarkt	direct-mailmarkt	dirɛktmelmɑrkt
directe	directe	dirɛktə
directeur	directeur	dirɛktør
Directeur	Directeur	dirɛktør
directeur-grootaandeelhouders	directeur-grootaandeelhouders	dirɛktørɣrotandelhɑudɛrs
directie	directie	dirɛksi
directieberaad	directieberaad	dirɛktsibərat
directielid	directielid	dirɛktsilɪt
directiemeubilair	directiemeubilair	dirɛktsimøbilɑɪr
Directive	Directive	dirɛktivə
directory	directory	dirɛktori
Directrice	Directrice	dirɛktrisə
direkt	direkt	dirɛkt
dirigent	dirigent	diriɣənt
Dirigent	Dirigent	diriɣənt
dirigenten	dirigenten	diriɣəntən
Dirk	Dirk	dɪrk
Diront	Diront	dirɔnt
Disability	Disability	disabiliti
discipline	discipline	dɪsɪplinə
Disclaimer	Disclaimer	dɪsklɑɪmər
disco	disco	dɪsko
discobar	discobar	dɪskobɑr
disconnected	disconnected	dɪskɔnɛktɛt
Discovery	Discovery	dɪskoveri
discretie	discretie	dɪskretsi
discriminatie	discriminatie	dɪskriminatsi
discrimineert	discrimineert	dɪskriminert
discussie	discussie	dɪskœsi
discussiëren	discussiëren	dɪskœsierən
discussies	discussies	dɪskœsis
disease	disease	diseasə
Disease	Disease	diseasə
Diskin	Diskin	dɪskɪn
disks	disks	dɪsks
display	display	dɪspleɪ
Display	Display	dɪspleɪ
dissident	dissident	dɪsidɛnt
dissidenten	dissidenten	dɪsidɛntən
dissolve-effect	dissolve-effect	dɪsɔlveɛfɛkt
Distance	Distance	dɪstɑnsə
distillery	distillery	dɪstɪleri
Distillery	Distillery	dɪstɪleri
distortion	distortion	dɪstɔrʃɔn
distributeur	distributeur	dɪstribytør
distributie	distributie	dɪstribytsi
Distributie	Distributie	dɪstribytsi
distributie-transport	distributie-transport	dɪstribytsitrɑnspɔrt
distributieketen	distributieketen	dɪstribytiketən
distributietarieven	distributietarieven	dɪstribytsitarivən
district	district	dɪstrɪkt
districten	districten	dɪstrɪktən
districtenstelsel	districtenstelsel	dɪstrɪktɛnstɛlsəl
dit	dit	dɪt
Dit	Dit	dɪt
ditmaal	ditmaal	dɪtmal
Ditmaal	Ditmaal	dɪtmal
dito	dito	dito
diva	diva	diva
divers	divers	divɛrs
diverse	diverse	divɛrsə
Diverse	Diverse	divɛrsə
diversiteit	diversiteit	divɛrsitɛɪt
divisie	divisie	divisi
dizze	dizze	dɪzə
djahe	djahe	ɟahə
djembe	djembe	ɟɛmbə
djembé	djembé	ɟɛmbe
dk	dk	tk
do	do	do
Dobbelsteen	Dobbelsteen	dɔbəlsten
dobbert	dobbert	dɔbərt
doceert	doceert	dosert
docent	docent	dosɛnt
docente	docente	dosɛntə
docenten	docenten	dosɛntən
docentenkamer	docentenkamer	dosɛntɛŋkamər
Docentenopleiding	Docentenopleiding	dosɛntenɔplɛɪdɪŋ
doch	doch	dɔx
Doch	Doch	dɔx
dochter	dochter	dɔxtər
dochters	dochters	dɔxtɛrs
dochtertje	dochtertje	dɔxtɛrcə
Dockwise	Dockwise	dɔkʋisə
doctor	doctor	dɔktɔr
doctorstitel	doctorstitel	dɔktɔrstitəl
doctrine	doctrine	dɔktrinə
document	document	dokymɛnt
Document	Document	dokymɛnt
documentaire	documentaire	dokymɛntɑɪrə
documentatie	documentatie	dokymɛntatsi
Documentatie	Documentatie	dokymɛntatsi
documenten	documenten	dokymɛntən
Documenten	Documenten	dokymɛntən
documentvector	documentvector	dokymɛntvɛktɔr
dode	dode	dodə
dodelijk	dodelijk	dodelək
dodelijke	dodelijke	dodeləkə
doden	doden	dodən
dodenrijk	dodenrijk	dodɛnrɛɪk
Dodenvespers	Dodenvespers	dodɛnvɛspɛrs
Dodgeball	Dodgeball	dɔtɣəbɑl
doe	doe	du
Doe	Doe	du
doedelzak	doedelzak	dudɛlzɑk
Doedens	Doedens	dudɛns
doek	doek	duk
doeken	doeken	dukən
doel	doel	dul
Doel	Doel	dul
doeleinden	doeleinden	dulɛɪndən
doelen	doelen	dulən
doelgerichte	doelgerichte	dulɣərɪxtə
doelgroep	doelgroep	dulɣrup
Doelgroep	Doelgroep	dulɣrup
Doelgroepen	Doelgroepen	dulɣrupən
doelgroepstrook	doelgroepstrook	dulɣrupstrok
doelman	doelman	dulmɑn
Doelman	Doelman	dulmɑn
doelmatig	doelmatig	dulmatəɣ
doelpoging	doelpoging	dulpoɣɪŋ
doelpunt	doelpunt	dulpœnt
Doelpunt	Doelpunt	dulpœnt
doelpunten	doelpunten	dulpœntən
doelstelling	doelstelling	dulstɛlɪŋ
Doelstelling	Doelstelling	dulstɛlɪŋ
doelstellingen	doelstellingen	dulstɛlɪŋən
doelt	doelt	dult
doeltreffend	doeltreffend	dultrɛfɛnt
doelwit	doelwit	dulʋɪt
doelwitten	doelwitten	dulʋɪtən
doen	doen	dun
Doen	Doen	dun
Doesburg	Doesburg	dusbœrɣ
doet	doet	dut
Doetinchem	Doetinchem	dutɪnxɛm
doffe	doffe	dɔfə
dogmeat	dogmeat	dɔɣmeɑt
Dokkum	Dokkum	dɔkœm
Doksy	Doksy	dɔksi
dokter	dokter	dɔktər
doktersvissen	doktersvissen	dɔktɛrsvɪsən
dol	dol	dɔl
Dolan	Dolan	dolɑn
dolce	dolce	dɔlsə
Doldersum	Doldersum	dɔldɛrsœm
dolende	dolende	dolɛndə
Dolf	Dolf	dɔlf
Dolfsma	Dolfsma	dɔlfsma
dolgraag	dolgraag	dɔlɣraɣ
dolkstootlegende	dolkstootlegende	dɔlkstotleɣəndə
dollar	dollar	dɔlɑr
Dollard	Dollard	dɔlɑrt
dollars	dollars	dɔlɑrs
Dolomiet	Dolomiet	dolomit
dom	dom	dɔm
domain	domain	domɑɪn
Domaine	Domaine	domɑɪnə
Dombosch	Dombosch	dɔmbɔsx
Domburg	Domburg	dɔmbœrɣ
domein	domein	domɛɪn
domeinaamregistratie	domeinaamregistratie	domɛɪnamreɣɪstratsi
domeinnaam	domeinnaam	domɛɪnam
Domela	Domela	domela
Dometic	Dometic	dometɪk
domheid	domheid	domhɛɪt
dominant	dominant	dominɑnt
dominante	dominante	dominɑntə
dominantie	dominantie	dominɑntsi
Dominique	Dominique	dominik
domme	domme	dɔmə
dommelde	dommelde	dɔmɛldə
Dommelenhuis	Dommelenhuis	dɔmelenhœys
Domp	Domp	dɔmp
Domper	Domper	dɔmpər
Don	Don	dɔn
donateurs	donateurs	donatørs
Donatie	Donatie	donatsi
donaties	donaties	donatsis
Donaties	Donaties	donatsis
donderdag	donderdag	dɔndɛrdɑɣ
Donderdag	Donderdag	dɔndɛrdɑɣ
donderdagavond	donderdagavond	dɔndɛrdaɣavɔnt
donderdagochtend	donderdagochtend	dɔndɛrdaɣɔxtɛnt
Done	Done	donə
doneren	doneren	donerən
Dongen	Dongen	dɔŋən
Donk	Donk	dɔŋk
donker	donker	dɔŋkər
Donker	Donker	dɔŋkər
donkerblauw	donkerblauw	dɔŋkɛrblɑuʋ
donkerblauwe	donkerblauwe	dɔŋkɛrblɑuʋə
donkerder	donkerder	dɔŋkɛrdər
donkere	donkere	dɔŋkerə
Donner	Donner	dɔnər
donor	donor	donɔr
Donovan	Donovan	donovɑn
dood	dood	dot
Doodeman	Doodeman	dodemɑn
doodgeschoten	doodgeschoten	dotɣəsxotən
doodschoot	doodschoot	dotsxot
doodslag	doodslag	dotslɑɣ
doodsoorzaken	doodsoorzaken	dotsorzakən
doodsteek	doodsteek	dotstek
doodstraf	doodstraf	dotstrɑf
doodt	doodt	dot
doodvonnis	doodvonnis	dotvɔnɪs
doof	doof	dof
dooi	dooi	doi
dook	dook	dok
doolhof	doolhof	dolhɔf
Doolitle	Doolitle	dolɪtlə
doon	doon	don
doop	doop	dop
Doop	Doop	dop
doopgetuigen	doopgetuigen	dopɣətœyɣən
doopsgezinde	doopsgezinde	dopsɣəzɪndə
door	door	dor
Door	Door	dor
doorberekend	doorberekend	dorbərekɛnt
doorbraak	doorbraak	dorbrak
doorbrengen	doorbrengen	dorbrɛŋən
doorbroken	doorbroken	dorbrokən
doordat	doordat	dordɑt
Doordat	Doordat	dordɑt
doordeweekse	doordeweekse	dordeʋeksə
doorgaan	doorgaan	dorɣan
doorgaande	doorgaande	dorɣandə
doorgaans	doorgaans	dorɣans
doorgaat	doorgaat	dorɣat
doorgebracht	doorgebracht	dorɣəbrɑxt
doorgedraaid	doorgedraaid	dorɣədraɪt
doorgegaan	doorgegaan	dorɣəɣan
doorgegeven	doorgegeven	dorɣəɣəvən
doorgekropen	doorgekropen	dorɣəkropən
doorgemaakt	doorgemaakt	dorɣəmakt
doorgenomen	doorgenomen	dorɣənomən
doorgeprikt	doorgeprikt	dorɣəprɪkt
doorgeslagen	doorgeslagen	dorɣəslaɣən
doorgesmeerd	doorgesmeerd	dorɣəsmert
doorgesproken	doorgesproken	dorɣəsprokən
doorgestuurd	doorgestuurd	dorɣəstyrt
doorgeven	doorgeven	dorɣəvən
doorgevoerd	doorgevoerd	dorɣəvurt
doorging	doorging	dorɣɪŋ
doorgrondden	doorgrondden	dorɣrɔndən
doorhakken	doorhakken	dorhɑkən
doorheen	doorheen	dorhen
doorkijk	doorkijk	dorkɛɪk
doorklikken	doorklikken	dorklɪkən
doorlaten	doorlaten	dorlatən
doorliep	doorliep	dorlip
doorloop	doorloop	dorlop
doorlopen	doorlopen	dorlopən
doorlopende	doorlopende	dorlopɛndə
doormaken	doormaken	dormakən
doorn	doorn	dorn
Doorn	Doorn	dorn
doorontwikkelingen	doorontwikkelingen	dorɔntʋɪkelɪŋən
doorrekenen	doorrekenen	dorekenən
doorrijden	doorrijden	dorɛɪdən
Doors	Doors	dors
doorslaggevend	doorslaggevend	dorslɑɣəvɛnt
doorsnede	doorsnede	dorsnedə
doorsneden	doorsneden	dorsnedən
doorsnee	doorsnee	dorsne
doorsnijdt	doorsnijdt	dorsnɛɪt
doorstaan	doorstaan	dorstan
doorstromen	doorstromen	dorstromən
doorstroming	doorstroming	dorstromɪŋ
doorstroomopleiding	doorstroomopleiding	dorstromɔplɛɪdɪŋ
doorstroomsysteem	doorstroomsysteem	dorstromsistem
doortastend	doortastend	dortɑstɛnt
doortrekken	doortrekken	dortrɛkən
doortrokken	doortrokken	dortrɔkən
doorverbinden	doorverbinden	dorvɛrbɪndən
doorverkopen	doorverkopen	dorvɛrkopən
doorverwezen	doorverwezen	dorverʋezən
doorverwijspagina	doorverwijspagina	dorverʋɛɪspaɣina
doorverwijzing	doorverwijzing	dorverʋɛɪzɪŋ
doorvoert	doorvoert	dorvurt
doorwerken	doorwerken	dorʋɛrkən
doorzag	doorzag	dorzɑɣ
doorzichtig	doorzichtig	dorzɪxtəɣ
doorzocht	doorzocht	dorzɔxt
Doorzon	Doorzon	dorzɔn
doos	doos	dos
doosje	doosje	doʃə
doosvissen	doosvissen	dosvɪsən
doosvrucht	doosvrucht	dosvrœxt
doping	doping	dopɪŋ
Dora-puzzel	Dora-puzzel	dorapœzəl
Dordrecht	Dordrecht	dɔrdrɛxt
Dordtenaar	Dordtenaar	dɔrttenar
Doremalen	Doremalen	doremalən
Doren	Doren	dorən
Dorma	Dorma	dɔrma
dorp	dorp	dɔrp
dorpen	dorpen	dɔrpən
dorpje	dorpje	dɔrpjə
dorpjes	dorpjes	dɔrpjɛs
dorpsbewoners	dorpsbewoners	dɔrpsbəʋonɛrs
dorpsgenoten	dorpsgenoten	dɔrpsɣənotən
Dorpsgenoten	Dorpsgenoten	dɔrpsɣənotən
dorpsgezicht	dorpsgezicht	dɔrpsɣəzɪxt
dorpskern	dorpskern	dɔrpskɛrn
dorsen	dorsen	dɔrsən
Dorsey	Dorsey	dɔrsɛi
dorso	dorso	dɔrso
dorst	dorst	dɔrst
Dorstig	Dorstig	dɔrstəɣ
Dortmund	Dortmund	dɔrtmœnt
Dortsman	Dortsman	dɔrtsmɑn
doseren	doseren	doserən
dosis	dosis	dosɪs
dossier	dossier	dɔsir
dossieronderzoek	dossieronderzoek	dɔsirɔndɛrzuk
dossiers	dossiers	dɔsirs
douane	douane	dɑuanə
double	double	dɑublə
Doubleclick	Doubleclick	dɑublɛklɪk
douche	douche	dɑuxə
douchecabine	douchecabine	dɑuxekabinə
douchecel	douchecel	dɑuxesəl
douchekop	douchekop	dɑuxekɔp
douchen	douchen	dɑuxən
